Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1185156,ocds-dgv273-seacev3-1185156-2026-04-17T10:28:25.301208-05:00,1185156,21196569,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-1185746,ocds-dgv273-seacev3-1185746-2026-04-17T10:28:03.253524-05:00,1185746,21199262,91111601,Servicios de limpieza y mantenimiento,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194998,14111703,Toallas de papel,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194997,14111703,Toallas de papel,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194995,14111703,Toallas de papel,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194994,14111703,Toallas de papel,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194841,12352104,Alcoholes o sus sustitutos,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194850,12352104,Alcoholes o sus sustitutos,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194828,12352104,Alcoholes o sus sustitutos,UNSPSC
ocds-dgv273-seacev3-1184548,ocds-dgv273-seacev3-1184548-2026-04-17T10:28:03.146990-05:00,1184548,21194979,14121703,Papel de aluminio laminado,UNSPSC
